valor,hora,dia_semana,categoria,is_fraude
446.24,4,3,D,0
267.83,11,6,A,0
698.32,9,4,D,1
12.78,12,6,C,0
660.21,14,0,A,0
333.53,12,3,C,0
141.31,4,4,A,0
19.13,19,6,C,0
1867.99,15,4,A,0
2.74,3,1,A,0
587.51,18,2,B,0
549.38,12,4,A,1
189.57,21,6,A,0
272.6,9,6,B,0
1057.74,6,6,B,0
201.31,13,0,A,0
1459.19,8,5,B,0
297.28,4,4,A,0
39.32,20,3,B,0
671.32,21,6,A,0
95.14,20,4,A,0
323.28,14,1,B,0
138.28,10,5,D,0
677.44,8,3,B,0
704.2,4,6,C,0
100.19,13,5,B,0
414.07,0,5,B,0
40.01,16,3,C,0
212.18,5,6,A,0
40.75,12,6,D,0
62.2,7,3,D,0
95.4,7,5,D,0
259.01,23,2,A,0
32.32,21,5,D,0
107.17,0,2,A,0
2.63,16,6,A,0
915.65,16,0,D,0
321.39,15,1,A,0
73.35,21,5,A,0
1057.34,5,1,D,1
312.43,14,2,A,0
17.06,21,3,C,0
297.67,0,0,D,0
408.82,3,4,B,0
645.09,10,3,A,0
720.53,22,0,A,0
116.48,20,1,D,0
1380.24,14,6,A,0
251.12,19,3,B,0
122.66,4,0,A,0
318.85,14,6,B,0
189.5,22,0,B,0
91.13,13,0,C,0
988.22,21,4,B,0
1119.92,7,0,A,0
726.82,17,6,A,0
226.81,9,5,A,0
503.67,2,4,C,0
762.45,13,5,C,0
32.94,6,2,D,1
211.02,18,0,A,0
410.41,8,2,C,0
1499.47,18,2,B,0
488.7,17,3,A,0
404.92,8,5,A,0
91.96,9,4,A,0
138.73,7,2,A,0
69.75,21,2,C,0
144.92,14,4,C,0
507.06,8,0,D,0
1267.84,10,6,B,0
6.36,8,1,A,0
149.93,1,4,A,0
20.06,10,6,C,0
831.04,23,4,C,0
473.35,5,3,B,0
700.77,21,1,B,0
1002.12,9,1,D,0
66.48,14,2,B,0
253.97,11,0,A,0
316.1,12,5,A,0
290.48,1,4,C,0
509.78,11,5,B,0
691.57,1,4,B,0
107.29,10,0,B,0
44.61,7,3,A,0
380.64,20,0,A,0
111.7,17,0,D,0
701.66,13,1,B,0
250.59,11,5,C,0
469.8,22,2,B,0
175.28,11,4,B,0
43.69,1,4,D,0
142.03,11,5,A,0
71.27,22,6,A,1
106.02,1,2,A,0
314.47,3,3,A,0
175.35,7,2,A,0
546.04,7,2,C,0
417.83,2,5,A,0
587.94,10,5,B,0
624.89,0,4,A,0
299.11,5,2,C,0
118.44,4,1,A,0
2149.64,7,4,A,1
45.1,10,1,B,0
214.42,13,6,D,0
67.19,1,2,A,0
282.96,0,3,D,0
657.77,10,4,A,0
257.56,17,4,B,0
227.76,10,6,D,0
161.21,0,4,A,0
31.94,1,2,A,0
515.27,13,0,A,0
556.69,20,1,B,0
381.85,18,4,A,0
929.85,20,5,A,0
57.15,10,0,A,0
89.59,13,1,A,0
754.16,0,2,C,0
432.84,20,5,A,0
290.63,8,2,A,0
592.38,11,3,A,0
599.2,21,0,B,0
323.75,10,5,B,0
467.87,9,6,A,0
114.61,10,6,B,0
486.1,6,0,A,0
203.97,1,6,B,0
384.84,22,4,A,0
367.3,4,5,A,0
377.41,23,6,B,0
485.73,13,1,A,0
32.0,18,5,D,0
95.23,9,6,C,0
141.79,12,3,A,0
1353.39,22,4,D,1
428.73,2,2,B,0
76.5,12,1,A,0
457.98,8,4,A,0
735.7,19,5,A,0
921.26,10,4,A,0
93.26,11,6,A,0
1179.19,1,6,A,1
105.46,5,5,C,0
66.79,2,2,B,0
398.53,17,0,A,0
14.9,19,1,D,0
635.63,1,6,B,0
61.64,23,2,A,0
36.18,6,4,C,0
683.66,4,5,A,0
1321.66,7,4,C,0
572.55,11,4,C,0
684.71,15,5,A,0
1105.13,16,3,B,0
213.67,7,1,A,0
153.62,2,5,C,0
491.42,14,2,C,0
395.39,11,3,C,0
462.1,12,4,A,0
499.49,0,0,A,0
502.11,4,1,A,0
100.41,8,5,A,0
34.75,10,3,A,0
277.58,22,6,C,0
1126.05,21,1,A,0
530.41,12,3,A,0
71.88,2,4,B,0
27.53,13,6,D,0
349.92,5,6,A,0
350.15,8,1,B,0
448.79,4,2,B,0
111.01,20,1,B,0
238.5,16,2,C,0
480.3,15,6,A,0
69.08,17,3,A,0
82.95,8,3,A,0
231.09,7,4,A,0
115.33,18,2,C,0
1007.78,15,0,C,0
84.24,6,5,A,0
204.14,23,3,A,0
680.34,6,6,D,0
15.66,21,6,A,0
441.19,2,1,A,0
5.66,5,2,B,0
