valor,hora,dia_semana,categoria,is_fraude
187.71,18,5,B,0
1204.05,21,1,A,0
526.7,1,5,C,0
365.18,7,5,A,0
67.85,3,4,A,0
67.84,7,4,A,0
23.94,23,6,B,0
804.49,7,0,A,0
367.63,0,3,D,0
492.5,4,3,B,0
8.32,9,3,A,0
1401.42,5,6,B,1
714.57,11,3,A,0
95.48,13,2,A,0
80.27,8,3,A,0
81.04,20,6,A,0
145.1,15,5,A,0
297.57,2,0,B,0
226.21,11,3,A,0
137.69,21,3,C,0
378.55,22,0,C,0
60.09,13,6,C,0
138.21,3,3,B,0
182.51,18,4,B,0
243.57,19,5,A,0
615.17,22,6,A,0
89.09,6,5,C,0
288.81,14,2,A,0
359.0,13,1,C,0
19.03,12,0,C,0
374.13,11,3,A,0
74.78,14,4,C,0
26.91,14,5,A,0
1189.48,15,3,A,0
1348.25,6,4,B,0
660.93,22,1,C,0
145.32,23,0,C,0
41.11,9,4,A,0
461.1,15,1,B,0
232.04,11,5,C,0
52.06,11,1,A,0
273.42,22,2,A,0
14.0,6,1,C,0
960.17,0,5,A,1
119.78,8,2,A,0
434.5,7,4,A,0
149.42,22,0,A,0
293.64,22,3,C,0
316.49,16,1,A,0
81.76,14,0,C,0
1397.12,17,0,C,0
596.9,21,0,B,0
1122.04,21,2,C,0
900.86,23,2,A,0
364.42,22,1,A,0
1019.77,11,2,C,0
37.06,18,4,A,0
87.25,16,4,C,0
18.51,6,4,B,0
157.41,16,2,A,0
196.85,11,2,A,0
126.62,4,3,B,0
705.82,3,3,D,0
176.49,6,5,A,0
131.92,8,4,B,0
312.96,5,4,C,0
60.76,21,5,C,0
648.19,10,1,D,1
30.99,11,4,C,0
1733.66,1,2,A,1
591.79,7,3,A,0
88.62,1,0,C,0
2.21,20,5,B,0
675.96,11,5,A,0
490.84,20,5,B,0
522.27,19,2,B,0
590.09,0,6,C,0
30.77,3,0,A,0
177.56,5,4,A,0
49.26,12,6,C,0
795.41,3,4,A,0
390.52,8,0,B,0
160.73,17,1,C,0
26.27,8,2,D,0
149.0,15,5,B,0
157.33,10,3,B,0
523.15,5,1,B,0
405.96,15,6,A,0
872.9,7,3,A,0
255.63,18,6,A,1
50.95,4,4,A,0
499.65,7,3,A,0
572.16,8,4,A,0
329.55,2,3,A,0
589.56,0,2,C,0
272.33,14,4,B,0
295.87,1,4,B,0
223.13,11,3,C,0
10.3,9,0,A,0
45.67,3,5,C,0
12.77,3,3,B,0
404.69,11,2,A,0
150.96,11,5,A,0
284.17,12,4,B,0
952.51,10,2,A,0
114.7,20,4,A,0
211.31,6,2,C,0
563.5,6,4,B,0
103.92,21,0,A,0
32.04,22,4,C,0
136.86,8,6,C,0
70.32,6,3,A,0
1061.98,13,5,C,0
660.35,19,1,B,0
401.4,2,2,A,0
820.61,9,6,A,0
651.19,11,2,B,0
82.6,5,4,D,0
892.33,2,5,A,1
310.04,17,6,C,0
658.94,21,4,D,1
905.7,19,6,C,0
153.09,22,3,D,0
46.64,14,2,A,0
103.47,17,4,C,0
222.82,15,4,A,0
681.53,18,3,A,0
788.54,15,6,A,0
2.79,20,0,B,0
285.95,23,3,D,0
216.11,20,0,A,0
100.47,7,3,A,0
51.07,13,2,A,1
164.76,17,0,C,0
1145.25,7,2,B,0
156.15,19,1,B,0
292.58,22,1,C,0
485.63,6,6,B,0
180.79,1,1,B,1
1427.12,16,3,C,0
1312.8,14,5,B,0
116.02,17,1,A,0
275.06,11,3,B,0
143.17,19,1,A,0
134.1,13,3,B,0
15.03,6,3,C,0
376.2,18,1,B,0
279.41,18,0,A,0
21.14,5,6,A,0
130.65,14,4,A,0
955.54,5,4,C,0
109.54,3,2,A,0
62.61,20,3,A,0
268.91,3,2,B,0
1697.61,15,5,A,1
110.86,1,2,C,0
446.06,16,4,A,0
573.56,0,1,C,0
108.53,18,5,A,0
521.1,19,3,B,0
183.41,9,6,A,0
400.2,6,3,A,0
401.54,16,0,A,0
306.95,1,0,A,0
37.85,0,0,A,0
721.46,6,1,A,0
154.72,11,6,A,0
82.57,17,3,B,0
16.65,14,6,C,0
357.51,2,0,B,0
452.74,14,3,C,0
6.69,21,0,C,0
287.05,9,1,C,0
102.73,10,2,B,0
414.45,16,3,D,1
76.64,1,4,C,0
469.69,9,2,C,0
195.58,2,6,B,0
1104.14,7,6,D,1
59.18,6,6,A,0
166.85,4,1,A,0
48.18,8,1,D,0
1034.48,9,5,A,0
839.33,7,6,B,0
119.33,14,1,A,0
431.51,22,6,A,0
679.79,22,6,B,0
324.05,18,1,C,0
301.71,9,3,C,0
110.75,12,5,A,0
39.09,17,4,A,0
910.05,11,0,A,0
922.71,10,0,B,0
401.07,13,0,B,0
165.62,12,0,B,0
171.83,6,0,D,0
517.79,18,5,B,0
909.64,1,5,A,1
872.45,22,3,C,0
605.42,4,3,A,0
410.92,0,0,B,0
35.16,23,5,A,0
70.52,14,6,A,1
915.29,16,4,B,0
373.0,5,0,A,0
3.7,8,1,A,0
42.8,22,6,A,0
435.66,11,5,B,0
2.03,6,2,A,0
70.13,10,4,A,0
318.28,7,4,A,0
470.93,3,4,C,0
422.18,22,3,A,0
101.58,18,6,A,0
498.17,22,3,B,0
108.33,15,5,D,0
157.45,6,4,C,0
548.94,16,5,B,0
419.51,11,0,B,0
756.78,11,3,D,0
428.73,17,5,B,0
336.02,20,5,C,0
39.34,18,3,D,0
183.37,3,4,D,0
123.26,22,5,A,0
111.88,17,3,B,0
1444.92,19,4,D,1
199.75,15,3,C,0
890.42,17,3,A,0
398.93,5,1,B,0
633.53,21,4,A,0
279.37,18,0,B,0
344.06,23,1,A,0
271.32,6,6,C,0
86.89,4,2,B,0
512.7,0,2,B,0
131.83,6,2,A,0
9.85,8,6,A,0
414.79,18,2,A,0
77.97,12,4,B,0
1128.43,17,5,A,0
1231.02,21,5,D,0
985.4,6,4,A,0
184.91,9,5,B,0
6.23,21,5,D,0
1054.21,17,5,C,0
223.58,17,1,B,1
1360.34,7,2,A,0
1325.49,6,4,B,0
766.95,4,6,D,1
139.51,1,4,A,0
194.52,8,3,C,0
761.89,3,0,B,0
152.46,9,0,C,0
74.29,7,6,A,0
325.49,2,1,D,0
1100.52,4,3,A,1
476.33,6,2,A,0
337.64,6,2,A,0
40.89,11,4,B,0
381.81,6,3,A,0
1844.23,12,5,B,1
60.37,7,6,B,0
292.2,11,6,B,0
839.44,9,1,C,0
540.01,14,3,C,0
477.63,9,0,A,0
484.92,15,2,C,0
178.2,5,5,A,0
139.02,7,3,A,0
662.95,8,3,A,0
664.53,0,0,D,1
